n,Iterative,Recursive
407,3421,34640
408,3421,33357
409,3421,33785
410,3421,33784
411,2993,33785
412,3849,33785
413,3422,34212
414,3421,32502
415,3422,34212
416,3421,34213
417,3421,33357
418,3422,35068
419,3849,48752
420,3421,34640
421,3421,34640
422,3849,34640
423,3849,34640
424,3849,34640
425,3849,34640
426,3849,35067
427,3849,35068
428,3849,35068
429,3421,35068
430,3849,36779
431,3849,35495
432,3849,62010
433,3849,37633
434,3848,37634
435,3848,37206
436,3849,55167
437,3849,38489
438,3421,38916
439,3849,38489
440,3849,39344
441,3849,40627
442,3849,39345
443,3849,38061
444,3849,38917
445,3849,38061
446,3848,39772
447,4277,40200
448,3849,40627
449,3849,40199
450,4277,41910
451,4276,41055
452,4276,65004
453,4277,55595
454,4276,41483
455,4276,42338
456,4704,41910
457,4277,42765
458,4277,42337
459,4277,42338
460,3849,42338
461,3849,41482
462,3849,41483
463,4276,34213
464,3849,35067
465,3849,40627
466,4277,41055
467,3849,40628
468,3848,42766
469,4704,38061
470,3849,50464
471,3849,42765
472,3849,43193
473,4276,43193
474,3848,41483
475,3849,40200
476,3849,40627
477,4277,40627
478,3849,41055
479,4277,40628
480,4276,44049
481,3849,42338
482,4276,44048
483,3849,41910
484,4277,44904
485,4277,43621
486,3849,43621
487,4276,56878
488,3849,41482
489,3849,41910
490,3849,41910
491,3849,41910
492,4277,41483
493,3848,42766
494,4276,46186
495,3849,43193
496,4276,47898
497,3849,43621
498,3849,44903
499,4277,42765
500,4276,43193
501,4277,44048
502,4276,43620
503,4277,44049
504,4276,56023
505,3849,63293
506,4276,41911
507,3849,41483
508,4276,41483
509,4277,41483
510,3849,41910
511,4276,41911
512,3849,41910
513,4276,40627
514,4276,46186
515,5987,38489
516,4276,38062
517,4277,38061
518,4276,39344
519,4277,38916
520,4277,41910
521,4277,64575
522,4704,41055
523,4277,39344
524,4277,42765
525,4276,44903
526,4704,43193
527,4277,42765
528,4276,43193
529,4277,42766
530,4277,43621
531,4276,43193
532,4276,43620
533,4277,43621
534,4277,45331
535,4276,43193
536,4704,43621
537,4704,42766
538,4277,64148
539,4277,48324
540,4705,41055
541,4704,44048
542,4277,44476
543,4705,43621
544,4704,46614
545,4277,44048
546,4277,44476
547,4276,44904
548,4704,44904
549,4277,44903
550,4277,45332
551,4277,48752
552,4277,44904
553,4704,44903
554,4277,45331
555,4277,59016
556,4704,45759
557,4277,45331
558,6415,45759
559,4277,45760
560,4704,45760
561,4705,45759
562,4277,45331
563,4704,45759
564,4277,42765
565,4704,46614
566,4276,46614
567,4704,46187
568,4704,46614
569,4276,46615
570,4277,46614
571,4277,46614
572,4705,55167
573,4704,43621
574,4705,47042
575,5132,52174
576,5132,47897
577,4705,44476
578,4704,44476
579,4704,52174
580,5132,52174
581,4704,47469
582,4704,47042
583,4704,47469
584,4704,47898
585,4704,53457
586,4704,53885
587,5132,52602
588,5132,49181
589,4705,71845
590,4704,55168
591,4704,54312
592,5132,55168
593,4704,50463
594,4704,56451
595,5132,52601
596,4704,46187
597,5131,47898
598,4704,44904
599,4704,45759
600,4704,45332
601,5132,44904
602,4704,46187
603,4704,46615
604,4704,47898
605,4705,47042
606,4704,64576
607,5132,51746
608,5132,49180
609,6842,47042
610,4704,48325
611,4704,47469
612,5132,51746
613,4705,50464
614,5132,45331
615,5131,47897
616,5132,50463
617,4704,50463
618,5132,51319
619,5131,48325
620,5132,51318
621,4704,49180
622,5132,67142
623,5132,66286
624,5132,51319
625,5132,97078
626,5132,51319
627,5132,50035
628,5132,51318
629,5131,49181
630,5132,53029
631,4704,52601
632,5131,48753
633,5132,52174
634,5132,51746
635,4704,51746
636,5132,52174
637,5132,52174
638,5132,52174
639,5132,50891
640,5132,69708
641,5132,52601
642,5560,52174
643,5132,52602
644,5132,52601
645,4704,52602
646,5132,52601
647,5131,52601
648,5132,48753
649,5132,50891
650,4704,49608
651,5132,50891
652,5132,49608
653,5132,50463
654,5131,51319
655,5132,51319
656,5132,57305
657,5132,67997
658,5132,53885
659,5559,53885
660,5560,53885
661,5132,53884
662,5131,53885
663,5132,53884
664,5132,54312
665,5560,54312
666,5132,54313
667,5132,50463
668,5132,54312
669,5559,54739
670,5131,53885
671,5132,54740
672,5132,54740
673,5132,54740
674,5131,54740
675,5559,66286
676,5132,55168
677,5132,54312
678,5559,57306
679,5560,59016
680,5559,55595
681,5132,55595
682,5131,55168
683,5560,56023
684,5559,55595
685,5560,55595
686,5132,53029
687,5560,56023
688,5560,56450
689,5559,56450
690,5559,56451
691,5560,56023
692,5560,67142
693,5132,56023
694,5559,56450
695,5987,56450
696,5559,56878
697,5559,67997
698,5988,72273
699,5987,56451
700,5560,59872
701,5987,61582
702,6415,61582
703,5987,114183
704,10264,61582
705,5560,57305
706,5559,55167
707,5559,56023
708,5560,59016
709,5560,69280
710,5987,55168
711,6414,113329
712,5560,61583
713,8126,61582
714,5987,61154
715,5560,59444
716,5987,57306
717,5560,61582
718,5987,61582
719,5987,61155
720,5559,64576
721,5559,62438
722,5559,69280
723,5987,62865
724,5987,84676
725,5987,58588
726,5560,75695
727,6415,66714
728,61154,312188
729,5987,180471
730,5988,239914
731,6415,120171
732,5987,65859
733,5987,63721
734,5987,62010
735,5987,67570
736,5987,67997
737,5987,68425
738,5988,198004
739,5987,68853
740,5987,62437
741,5987,62438
742,6415,64149
743,5987,82109
744,5560,59872
745,6414,111190
746,5987,69708
747,5987,65859
748,5987,69280
749,5987,68853
750,5988,58589
751,5987,62437
752,5987,63721
753,6415,59444
754,5987,55168
755,5987,62438
756,5559,56023
757,5987,61582
758,5987,59444
759,6415,67997
760,5559,79971
761,5988,67997
762,6414,57305
763,5987,65431
764,5987,58589
765,6415,72274
766,5988,70563
767,5987,62865
768,6414,59016
769,5987,59017
770,5987,61582
771,6415,73129
772,6415,71846
773,5987,71418
774,5987,71846
775,5987,71846
776,6415,63292
777,5988,94511
778,6415,71418
779,6415,64148
780,5987,64148
781,5987,70563
782,5987,72702
783,6415,69280
784,6415,71418
785,6415,72701
786,6415,73129
787,6415,73129
788,6414,73557
789,6415,75267
790,6414,70990
791,5987,65859
792,6415,66714
793,8553,69280
794,6415,83820
795,6415,66286
796,6415,67569
797,7698,68425
798,6415,70991
799,5987,71419
800,6415,67570
801,6415,67997
802,6842,71419
803,5987,67569
804,6415,74840
805,6414,74840
806,6415,74412
807,5988,75267
808,6415,74840
809,6415,76123
810,6415,75267
811,6415,92374
812,6415,67569
813,6415,72701
814,6415,75267
815,6415,79543
816,6414,70563
817,6415,75694
818,6415,76122
819,6415,76122
820,6414,79116
821,6415,76977
822,6415,76122
823,6415,76550
824,6415,76122
825,6415,68852
826,6842,69708
827,6415,74411
828,8981,85958
829,6843,64576
830,6415,67142
831,6415,65858
832,6415,65431
833,6415,65432
834,22239,108624
835,6842,67997
836,6843,70563
837,6842,69280
838,6842,65431
839,6843,104775
840,6842,200570
841,6842,74839
842,6843,72273
843,6842,70563
844,6415,65859
845,6843,88524
846,6415,66286
847,6842,68852
848,6842,67570
849,6843,67142
850,6843,81254
851,6843,101782
852,6415,67142
853,6415,67997
854,6842,68853
855,6842,68852
856,6842,65431
857,6842,65004
858,6415,67142
859,6843,65004
860,6842,64576
861,6415,65003
862,6843,79971
863,6415,65003
864,6415,65431
865,6843,65003
866,6415,64576
867,8553,64148
868,6842,65859
869,6415,65003
870,6842,67997
871,6842,76122
872,6843,76550
873,6843,70135
874,6843,70990
875,6843,71846
876,6843,70563
877,6843,70991
878,7270,70563
879,6842,83820
880,6843,70991
881,6842,70135
882,6842,70135
883,6843,76978
884,6842,70135
885,6842,68853
886,6842,70135
887,6415,70991
888,6843,70563
889,6842,67997
890,6842,68853
